Enter the GPU ID (0/1): 1
Select GPU with device ID = 1
Ising Model on 2D Square Lattice with p.b.c.
============================================
Initialize the RNG
Enter the seed:
12345
The RNG has been initialized
Enter the number of sites in each dimension (<= 1000)
200
Enter the # of sweeps for thermalization
1000
Enter the # of measurements
1000
Enter the interval between successive measurements
10
Enter the display interval
100
Enter the interval for saving spin configuration
10
Enter the temperature (in units of J/k)
2.000000
Enter the external magnetization
0.000000
Initialize spins configurations :
 0: cold start 
 1: hot start 
0
Enter the number of threads (tx,ty) per block: For even/odd updating, tx=ty/2 is assumed: 2 4
The dimension of the grid is (50, 50)
T=2.00000e+00  B=0.00000e+00  ns=40000  E_exact=-1.74556e+00  M_exact=9.11319e-01
Thermalizing
sweeps   < E >     < M >
---------------------------------
1000  -2.00000e+00  1.00000e+00
1100  -2.00000e+00  1.00000e+00
1200  -2.00000e+00  1.00000e+00
1300  -2.00000e+00  1.00000e+00
1400  -2.00000e+00  1.00000e+00
1500  -2.00000e+00  1.00000e+00
1600  -2.00000e+00  1.00000e+00
1700  -2.00000e+00  1.00000e+00
1800  -2.00000e+00  1.00000e+00
1900  -2.00000e+00  1.00000e+00
2000  -2.00000e+00  1.00000e+00
2100  -2.00000e+00  1.00000e+00
2200  -2.00000e+00  1.00000e+00
2300  -2.00000e+00  1.00000e+00
2400  -2.00000e+00  1.00000e+00
2500  -2.00000e+00  1.00000e+00
2600  -2.00000e+00  1.00000e+00
2700  -2.00000e+00  1.00000e+00
2800  -2.00000e+00  1.00000e+00
2900  -2.00000e+00  1.00000e+00
3000  -2.00000e+00  1.00000e+00
3100  -2.00000e+00  1.00000e+00
3200  -2.00000e+00  1.00000e+00
3300  -2.00000e+00  1.00000e+00
3400  -2.00000e+00  1.00000e+00
3500  -2.00000e+00  1.00000e+00
3600  -2.00000e+00  1.00000e+00
3700  -2.00000e+00  1.00000e+00
3800  -2.00000e+00  1.00000e+00
3900  -2.00000e+00  1.00000e+00
4000  -2.00000e+00  1.00000e+00
4100  -2.00000e+00  1.00000e+00
4200  -2.00000e+00  1.00000e+00
4300  -2.00000e+00  1.00000e+00
4400  -2.00000e+00  1.00000e+00
4500  -2.00000e+00  1.00000e+00
4600  -2.00000e+00  1.00000e+00
4700  -2.00000e+00  1.00000e+00
4800  -2.00000e+00  1.00000e+00
4900  -2.00000e+00  1.00000e+00
5000  -2.00000e+00  1.00000e+00
5100  -2.00000e+00  1.00000e+00
5200  -2.00000e+00  1.00000e+00
5300  -2.00000e+00  1.00000e+00
5400  -2.00000e+00  1.00000e+00
5500  -2.00000e+00  1.00000e+00
5600  -2.00000e+00  1.00000e+00
5700  -2.00000e+00  1.00000e+00
5800  -2.00000e+00  1.00000e+00
5900  -2.00000e+00  1.00000e+00
6000  -2.00000e+00  1.00000e+00
6100  -2.00000e+00  1.00000e+00
6200  -2.00000e+00  1.00000e+00
6300  -2.00000e+00  1.00000e+00
6400  -2.00000e+00  1.00000e+00
6500  -2.00000e+00  1.00000e+00
6600  -2.00000e+00  1.00000e+00
6700  -2.00000e+00  1.00000e+00
6800  -2.00000e+00  1.00000e+00
6900  -2.00000e+00  1.00000e+00
7000  -2.00000e+00  1.00000e+00
7100  -2.00000e+00  1.00000e+00
7200  -2.00000e+00  1.00000e+00
7300  -2.00000e+00  1.00000e+00
7400  -2.00000e+00  1.00000e+00
7500  -2.00000e+00  1.00000e+00
7600  -2.00000e+00  1.00000e+00
7700  -2.00000e+00  1.00000e+00
7800  -2.00000e+00  1.00000e+00
7900  -2.00000e+00  1.00000e+00
8000  -2.00000e+00  1.00000e+00
8100  -2.00000e+00  1.00000e+00
8200  -2.00000e+00  1.00000e+00
8300  -2.00000e+00  1.00000e+00
8400  -2.00000e+00  1.00000e+00
8500  -2.00000e+00  1.00000e+00
8600  -2.00000e+00  1.00000e+00
8700  -2.00000e+00  1.00000e+00
8800  -2.00000e+00  1.00000e+00
8900  -2.00000e+00  1.00000e+00
9000  -2.00000e+00  1.00000e+00
9100  -2.00000e+00  1.00000e+00
9200  -2.00000e+00  1.00000e+00
9300  -2.00000e+00  1.00000e+00
9400  -2.00000e+00  1.00000e+00
9500  -2.00000e+00  1.00000e+00
9600  -2.00000e+00  1.00000e+00
9700  -2.00000e+00  1.00000e+00
9800  -2.00000e+00  1.00000e+00
9900  -2.00000e+00  1.00000e+00
10000  -2.00000e+00  1.00000e+00
10100  -2.00000e+00  1.00000e+00
10200  -2.00000e+00  1.00000e+00
10300  -2.00000e+00  1.00000e+00
10400  -2.00000e+00  1.00000e+00
10500  -2.00000e+00  1.00000e+00
10600  -2.00000e+00  1.00000e+00
10700  -2.00000e+00  1.00000e+00
10800  -2.00000e+00  1.00000e+00
10900  -2.00000e+00  1.00000e+00
---------------------------------
T=2.00000e+00  B=0.00000e+00  ns=40000  E_exact=-1.74556e+00  M_exact=9.11319e-01
Processing time for GPU: 15.587547 (ms) 
GPU Gflops: 197.593627
