Enter the GPU ID (0/1): 1
Select GPU with device ID = 1
Ising Model on 2D Square Lattice with p.b.c.
============================================
Initialize the RNG
Enter the seed:
12345
The RNG has been initialized
Enter the number of sites in each dimension (<= 1000)
128
Enter the # of sweeps for thermalization
1000
Enter the # of measurements
1000
Enter the interval between successive measurements
10
Enter the display interval
100
Enter the interval for saving spin configuration
10
Enter the temperature (in units of J/k)
2.500000
Enter the external magnetization
0.000000
Initialize spins configurations :
 0: cold start 
 1: hot start 
0
Enter the number of threads (tx,ty) per block: For even/odd updating, tx=ty/2 is assumed: 4 8
The dimension of the grid is (16, 16)
./dats/ising2d_1gpu_T_2.5.dat./dats/spin_1gpu_T_2.5.datT=2.50000e+00  B=0.00000e+00  ns=16384  E_exact=-1.10608e+00  M_exact=0.00000e+00
Thermalizing
sweeps   < E >     < M >
---------------------------------
1000  -1.17456e+00  2.07520e-02
1100  -1.11876e+00  -3.11834e-02
1200  -1.11414e+00  -2.80239e-02
1300  -1.11476e+00  -3.09980e-02
1400  -1.11314e+00  -1.83552e-02
1500  -1.11101e+00  -9.20075e-03
1600  -1.10944e+00  -8.88112e-03
1700  -1.10847e+00  -7.07836e-03
1800  -1.10836e+00  -4.11724e-03
1900  -1.10896e+00  -1.59899e-03
2000  -1.10845e+00  6.90120e-04
2100  -1.10793e+00  -2.04000e-03
2200  -1.10775e+00  2.34254e-03
2300  -1.10835e+00  6.53216e-04
2400  -1.10818e+00  -4.85424e-03
2500  -1.10799e+00  -6.90384e-03
2600  -1.10752e+00  -4.50295e-03
2700  -1.10787e+00  -1.29066e-03
2800  -1.10733e+00  -2.07115e-03
2900  -1.10722e+00  -1.18363e-03
3000  -1.10714e+00  -4.39332e-03
3100  -1.10721e+00  -3.11945e-03
3200  -1.10689e+00  -1.57421e-04
3300  -1.10665e+00  3.72552e-04
3400  -1.10643e+00  3.00415e-03
3500  -1.10647e+00  5.06859e-03
3600  -1.10632e+00  4.58816e-03
3700  -1.10637e+00  6.72783e-03
3800  -1.10601e+00  6.23427e-03
3900  -1.10604e+00  6.94920e-03
4000  -1.10596e+00  6.01186e-03
4100  -1.10610e+00  4.57469e-03
4200  -1.10605e+00  4.83604e-03
4300  -1.10587e+00  5.00083e-03
4400  -1.10587e+00  4.31864e-03
4500  -1.10552e+00  2.55270e-03
4600  -1.10553e+00  2.12761e-03
4700  -1.10545e+00  2.55393e-03
4800  -1.10567e+00  2.39527e-03
4900  -1.10527e+00  2.17448e-03
5000  -1.10533e+00  2.20579e-03
5100  -1.10530e+00  2.92137e-03
5200  -1.10539e+00  2.27207e-03
5300  -1.10542e+00  3.18572e-03
5400  -1.10537e+00  2.61884e-03
5500  -1.10538e+00  2.13231e-03
5600  -1.10532e+00  2.51979e-03
5700  -1.10532e+00  1.97204e-03
5800  -1.10535e+00  2.64012e-03
5900  -1.10529e+00  2.36732e-03
6000  -1.10533e+00  2.28912e-03
6100  -1.10534e+00  3.41797e-03
6200  -1.10525e+00  3.60635e-03
6300  -1.10517e+00  3.69475e-03
6400  -1.10515e+00  2.93849e-03
6500  -1.10510e+00  3.43724e-03
6600  -1.10519e+00  3.75698e-03
6700  -1.10507e+00  2.74370e-03
6800  -1.10506e+00  3.18013e-03
6900  -1.10508e+00  2.92824e-03
7000  -1.10514e+00  3.54329e-03
7100  -1.10493e+00  4.78252e-03
7200  -1.10498e+00  4.10243e-03
7300  -1.10505e+00  4.07823e-03
7400  -1.10514e+00  2.99444e-03
7500  -1.10504e+00  2.92744e-03
7600  -1.10525e+00  2.98103e-03
7700  -1.10534e+00  3.17947e-03
7800  -1.10530e+00  2.86444e-03
7900  -1.10543e+00  2.54811e-03
8000  -1.10544e+00  2.57114e-03
8100  -1.10533e+00  2.79320e-03
8200  -1.10536e+00  2.30088e-03
8300  -1.10537e+00  1.24508e-03
8400  -1.10544e+00  7.43459e-04
8500  -1.10547e+00  3.19073e-04
8600  -1.10548e+00  7.03388e-04
8700  -1.10547e+00  1.02216e-03
8800  -1.10537e+00  1.39763e-03
8900  -1.10539e+00  2.25591e-03
9000  -1.10551e+00  2.84160e-03
9100  -1.10554e+00  2.48084e-03
9200  -1.10553e+00  2.45732e-03
9300  -1.10550e+00  3.07864e-03
9400  -1.10551e+00  2.72735e-03
9500  -1.10537e+00  2.93514e-03
9600  -1.10541e+00  3.21395e-03
9700  -1.10541e+00  3.36023e-03
9800  -1.10544e+00  3.18810e-03
9900  -1.10547e+00  2.79666e-03
10000  -1.10551e+00  2.83580e-03
10100  -1.10538e+00  2.91709e-03
10200  -1.10537e+00  3.02604e-03
10300  -1.10537e+00  3.12112e-03
10400  -1.10543e+00  3.47362e-03
10500  -1.10529e+00  3.92781e-03
10600  -1.10530e+00  4.14569e-03
10700  -1.10531e+00  3.87771e-03
10800  -1.10532e+00  3.65825e-03
10900  -1.10530e+00  3.81830e-03
---------------------------------
T=2.50000e+00  B=0.00000e+00  ns=16384  E_exact=-1.10608e+00  M_exact=0.00000e+00
Processing time for GPU: 3255.191406 (ms) 
GPU Gflops: 0.387556
