Enter the GPU ID (0/1): 1
Select GPU with device ID = 1
Ising Model on 2D Square Lattice with p.b.c.
============================================
Initialize the RNG
Enter the seed:
12345
The RNG has been initialized
Enter the number of sites in each dimension (<= 1000)
128
Enter the # of sweeps for thermalization
1000
Enter the # of measurements
1000
Enter the interval between successive measurements
10
Enter the display interval
100
Enter the interval for saving spin configuration
10
Enter the temperature (in units of J/k)
2.100000
Enter the external magnetization
0.000000
Initialize spins configurations :
 0: cold start 
 1: hot start 
0
Enter the number of threads (tx,ty) per block: For even/odd updating, tx=ty/2 is assumed: 4 8
The dimension of the grid is (16, 16)
./dats/ising2d_1gpu_T_2.1.dat./dats/spin_1gpu_T_2.1.datT=2.10000e+00  B=0.00000e+00  ns=16384  E_exact=-1.66208e+00  M_exact=8.68748e-01
Thermalizing
sweeps   < E >     < M >
---------------------------------
1000  -1.69604e+00  8.90137e-01
1100  -1.66741e+00  8.75122e-01
1200  -1.66585e+00  8.74262e-01
1300  -1.66663e+00  8.74476e-01
1400  -1.66744e+00  8.74553e-01
1500  -1.66455e+00  8.72544e-01
1600  -1.66407e+00  8.72102e-01
1700  -1.66427e+00  8.72053e-01
1800  -1.66464e+00  8.72456e-01
1900  -1.66548e+00  8.72762e-01
2000  -1.66547e+00  8.72566e-01
2100  -1.66459e+00  8.72108e-01
2200  -1.66437e+00  8.71889e-01
2300  -1.66428e+00  8.71521e-01
2400  -1.66333e+00  8.70983e-01
2500  -1.66349e+00  8.71186e-01
2600  -1.66281e+00  8.70596e-01
2700  -1.66289e+00  8.70533e-01
2800  -1.66294e+00  8.70594e-01
2900  -1.66293e+00  8.70726e-01
3000  -1.66307e+00  8.70760e-01
3100  -1.66329e+00  8.70829e-01
3200  -1.66318e+00  8.70829e-01
3300  -1.66283e+00  8.70335e-01
3400  -1.66286e+00  8.70152e-01
3500  -1.66261e+00  8.69973e-01
3600  -1.66258e+00  8.69953e-01
3700  -1.66226e+00  8.69772e-01
3800  -1.66218e+00  8.69632e-01
3900  -1.66225e+00  8.69650e-01
4000  -1.66234e+00  8.69695e-01
4100  -1.66249e+00  8.69758e-01
4200  -1.66253e+00  8.69706e-01
4300  -1.66243e+00  8.69570e-01
4400  -1.66248e+00  8.69663e-01
4500  -1.66214e+00  8.69355e-01
4600  -1.66217e+00  8.69404e-01
4700  -1.66222e+00  8.69456e-01
4800  -1.66245e+00  8.69564e-01
4900  -1.66230e+00  8.69474e-01
5000  -1.66222e+00  8.69368e-01
5100  -1.66209e+00  8.69281e-01
5200  -1.66236e+00  8.69545e-01
5300  -1.66216e+00  8.69445e-01
5400  -1.66232e+00  8.69575e-01
5500  -1.66251e+00  8.69610e-01
5600  -1.66247e+00  8.69600e-01
5700  -1.66245e+00  8.69591e-01
5800  -1.66249e+00  8.69633e-01
5900  -1.66236e+00  8.69545e-01
6000  -1.66228e+00  8.69456e-01
6100  -1.66241e+00  8.69481e-01
6200  -1.66236e+00  8.69370e-01
6300  -1.66232e+00  8.69314e-01
6400  -1.66229e+00  8.69257e-01
6500  -1.66228e+00  8.69287e-01
6600  -1.66240e+00  8.69373e-01
6700  -1.66233e+00  8.69339e-01
6800  -1.66239e+00  8.69366e-01
6900  -1.66251e+00  8.69426e-01
7000  -1.66251e+00  8.69384e-01
7100  -1.66246e+00  8.69288e-01
7200  -1.66249e+00  8.69339e-01
7300  -1.66247e+00  8.69328e-01
7400  -1.66236e+00  8.69276e-01
7500  -1.66224e+00  8.69170e-01
7600  -1.66215e+00  8.69089e-01
7700  -1.66218e+00  8.69096e-01
7800  -1.66213e+00  8.69065e-01
7900  -1.66215e+00  8.69044e-01
8000  -1.66214e+00  8.69042e-01
8100  -1.66215e+00  8.69086e-01
8200  -1.66225e+00  8.69142e-01
8300  -1.66214e+00  8.69061e-01
8400  -1.66217e+00  8.69103e-01
8500  -1.66225e+00  8.69195e-01
8600  -1.66216e+00  8.69175e-01
8700  -1.66217e+00  8.69155e-01
8800  -1.66217e+00  8.69175e-01
8900  -1.66215e+00  8.69186e-01
9000  -1.66205e+00  8.69113e-01
9100  -1.66222e+00  8.69186e-01
9200  -1.66218e+00  8.69184e-01
9300  -1.66224e+00  8.69239e-01
9400  -1.66221e+00  8.69219e-01
9500  -1.66218e+00  8.69220e-01
9600  -1.66211e+00  8.69126e-01
9700  -1.66209e+00  8.69103e-01
9800  -1.66201e+00  8.69032e-01
9900  -1.66190e+00  8.68913e-01
10000  -1.66196e+00  8.68920e-01
10100  -1.66187e+00  8.68811e-01
10200  -1.66194e+00  8.68840e-01
10300  -1.66198e+00  8.68863e-01
10400  -1.66196e+00  8.68864e-01
10500  -1.66181e+00  8.68705e-01
10600  -1.66185e+00  8.68750e-01
10700  -1.66185e+00  8.68755e-01
10800  -1.66184e+00  8.68739e-01
10900  -1.66188e+00  8.68723e-01
---------------------------------
T=2.10000e+00  B=0.00000e+00  ns=16384  E_exact=-1.66208e+00  M_exact=8.68748e-01
Processing time for GPU: 3227.364990 (ms) 
GPU Gflops: 0.390897
